PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Florida,20121106,N/A,ALACHUA,County,"120,418","48,797","Romney, W. Mitt",Challenger,"69,699","Obama, Barack H.",Incumbent,Libertarian,"1,306","Johnson, Gary E.",Challenger,616,"20,902",D,40.52,57.88,1.08,.51,41.18,58.82,"The other vote was: Hoefling, Thomas (American Independent) 16; Barr, Roseanne (Peace and Freedom) 102; Stevens, Thomas Robert (Objectivist) 46; Barnett, Andre (Reform) 11; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 344; Goode, Virgil H. Jr. (Write-in) 43; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 27; Alexander, Stewart (Socialist) 22",,"The other vote was: Hoefling, Thomas (American Independent) 16; Barr, Roseanne (Peace and Freedom) 102; Stevens, Thomas Robert (Objectivist) 46; Barnett, Andre (Reform) 11; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 344; Goode, Virgil H. Jr. (Write-in) 43; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 27; Alexander, Stewart (Socialist) 22"
President,Florida,20121106,N/A,BAKER,County,"11,368","8,975","Romney, W. Mitt",Challenger,"2,311","Obama, Barack H.",Incumbent,Libertarian,41,"Johnson, Gary E.",Challenger,41,"6,664",R,78.95,20.33,.36,.36,79.52,20.48,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 14; Stevens, Thomas Robert (Objectivist) 8; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 6; Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 1",,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 14; Stevens, Thomas Robert (Objectivist) 8; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 6; Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 1"
President,Florida,20121106,N/A,BAY,County,"79,861","56,876","Romney, W. Mitt",Challenger,"22,051","Obama, Barack H.",Incumbent,Libertarian,573,"Johnson, Gary E.",Challenger,361,"34,825",R,71.22,27.61,.72,.45,72.06,27.94,"The other vote was: Hoefling, Thomas (American Independent) 11; Barr, Roseanne (Peace and Freedom) 114; Stevens, Thomas Robert (Objectivist) 48; Barnett, Andre (Reform) 12; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 123; Goode, Virgil H. Jr. (Write-in) 25; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 21; Alexander, Stewart (Socialist) 3",,"The other vote was: Hoefling, Thomas (American Independent) 11; Barr, Roseanne (Peace and Freedom) 114; Stevens, Thomas Robert (Objectivist) 48; Barnett, Andre (Reform) 12; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 123; Goode, Virgil H. Jr. (Write-in) 25; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 21; Alexander, Stewart (Socialist) 3"
President,Florida,20121106,N/A,BRADFORD,County,"11,635","8,219","Romney, W. Mitt",Challenger,"3,325","Obama, Barack H.",Incumbent,Libertarian,39,"Johnson, Gary E.",Challenger,52,"4,894",R,70.64,28.58,.34,.45,71.20,28.80,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 15; Stevens, Thomas Robert (Objectivist) 7; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 14; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 7; Alexander, Stewart (Socialist) 1",,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 15; Stevens, Thomas Robert (Objectivist) 7; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 14; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 7; Alexander, Stewart (Socialist) 1"
President,Florida,20121106,N/A,BREVARD,County,"285,559","159,300","Romney, W. Mitt",Challenger,"122,993","Obama, Barack H.",Incumbent,Libertarian,"1,974","Johnson, Gary E.",Challenger,"1,292","36,307",R,55.79,43.07,.69,.45,56.43,43.57,"The other vote was: Hoefling, Thomas (American Independent) 50; Barr, Roseanne (Peace and Freedom) 412; Stevens, Thomas Robert (Objectivist) 164; Barnett, Andre (Reform) 34; Lindsay, Peta (Socialism and Liberation) 14; Stein, Jill (Green) 388; Goode, Virgil H. Jr. (Write-in) 129; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 75; Alexander, Stewart (Socialist) 26",,"The other vote was: Hoefling, Thomas (American Independent) 50; Barr, Roseanne (Peace and Freedom) 412; Stevens, Thomas Robert (Objectivist) 164; Barnett, Andre (Reform) 34; Lindsay, Peta (Socialism and Liberation) 14; Stein, Jill (Green) 388; Goode, Virgil H. Jr. (Write-in) 129; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 75; Alexander, Stewart (Socialist) 26"
President,Florida,20121106,N/A,BROWARD,County,"756,422","244,101","Romney, W. Mitt",Challenger,"508,312","Obama, Barack H.",Incumbent,Libertarian,"2,372","Johnson, Gary E.",Challenger,"1,637","264,211",D,32.27,67.20,.31,.22,32.44,67.56,"The other vote was: Hoefling, Thomas (American Independent) 46; Barr, Roseanne (Peace and Freedom) 385; Stevens, Thomas Robert (Objectivist) 235; Barnett, Andre (Reform) 58; Lindsay, Peta (Socialism and Liberation) 26; Stein, Jill (Green) 574; Goode, Virgil H. Jr. (Write-in) 132; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 104; Alexander, Stewart (Socialist) 77",,"The other vote was: Hoefling, Thomas (American Independent) 46; Barr, Roseanne (Peace and Freedom) 385; Stevens, Thomas Robert (Objectivist) 235; Barnett, Andre (Reform) 58; Lindsay, Peta (Socialism and Liberation) 26; Stein, Jill (Green) 574; Goode, Virgil H. Jr. (Write-in) 132; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 104; Alexander, Stewart (Socialist) 77"
President,Florida,20121106,N/A,CALHOUN,County,"6,152","4,366","Romney, W. Mitt",Challenger,"1,664","Obama, Barack H.",Incumbent,Libertarian,48,"Johnson, Gary E.",Challenger,74,"2,702",R,70.97,27.05,.78,1.20,72.40,27.60,"The other vote was: Hoefling, Thomas (American Independent) 3; Barr, Roseanne (Peace and Freedom) 33; Stevens, Thomas Robert (Objectivist) 13; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 6; Alexander, Stewart (Socialist) 1",,"The other vote was: Hoefling, Thomas (American Independent) 3; Barr, Roseanne (Peace and Freedom) 33; Stevens, Thomas Robert (Objectivist) 13; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 6; Alexander, Stewart (Socialist) 1"
President,Florida,20121106,N/A,CHARLOTTE,County,"84,682","47,996","Romney, W. Mitt",Challenger,"35,906","Obama, Barack H.",Incumbent,Libertarian,411,"Johnson, Gary E.",Challenger,369,"12,090",R,56.68,42.40,.49,.44,57.20,42.80,"The other vote was: Hoefling, Thomas (American Independent) 11; Barr, Roseanne (Peace and Freedom) 128; Stevens, Thomas Robert (Objectivist) 63; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 108; Goode, Virgil H. Jr. (Write-in) 28; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 16; Alexander, Stewart (Socialist) 9",,"The other vote was: Hoefling, Thomas (American Independent) 11; Barr, Roseanne (Peace and Freedom) 128; Stevens, Thomas Robert (Objectivist) 63; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 108; Goode, Virgil H. Jr. (Write-in) 28; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 16; Alexander, Stewart (Socialist) 9"
President,Florida,20121106,N/A,CITRUS,County,"73,935","44,662","Romney, W. Mitt",Challenger,"28,460","Obama, Barack H.",Incumbent,Libertarian,424,"Johnson, Gary E.",Challenger,389,"16,202",R,60.41,38.49,.57,.53,61.08,38.92,"The other vote was: Hoefling, Thomas (American Independent) 11; Barr, Roseanne (Peace and Freedom) 152; Stevens, Thomas Robert (Objectivist) 72; Barnett, Andre (Reform) 9; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 85; Goode, Virgil H. Jr. (Write-in) 32; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 20; Alexander, Stewart (Socialist) 8",,"The other vote was: Hoefling, Thomas (American Independent) 11; Barr, Roseanne (Peace and Freedom) 152; Stevens, Thomas Robert (Objectivist) 72; Barnett, Andre (Reform) 9; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 85; Goode, Virgil H. Jr. (Write-in) 32; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 20; Alexander, Stewart (Socialist) 8"
President,Florida,20121106,N/A,CLAY,County,"96,589","70,022","Romney, W. Mitt",Challenger,"25,759","Obama, Barack H.",Incumbent,Libertarian,506,"Johnson, Gary E.",Challenger,302,"44,263",R,72.49,26.67,.52,.31,73.11,26.89,"The other vote was: Hoefling, Thomas (American Independent) 14; Barr, Roseanne (Peace and Freedom) 96; Stevens, Thomas Robert (Objectivist) 54; Barnett, Andre (Reform) 11; Lindsay, Peta (Socialism and Liberation) 3; Stein, Jill (Green) 79; Goode, Virgil H. Jr. (Write-in) 25; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 14; Alexander, Stewart (Socialist) 6",,"The other vote was: Hoefling, Thomas (American Independent) 14; Barr, Roseanne (Peace and Freedom) 96; Stevens, Thomas Robert (Objectivist) 54; Barnett, Andre (Reform) 11; Lindsay, Peta (Socialism and Liberation) 3; Stein, Jill (Green) 79; Goode, Virgil H. Jr. (Write-in) 25; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 14; Alexander, Stewart (Socialist) 6"
