PRESIDENT 2012 State Summary
,
Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,20121106,N/A,Alabama,,,,"2,074,338","1,255,925","Romney, W. Mitt  ",Challenger,"795,696","Obama, Barack H. ",Incumbent,Libertarian,"12,328","Johnson, Gary E. ",Challenger,"10,389","Stein Jill   (Green) 3,397; Goode Virgil H. Jr. (Write-in) 2,981; Scattered Write-In    (Write-in) 4,011","460,229",R,60.55,38.36,.59,.50,61.22,38.78,,,
President,20121106,N/A,Alaska,,,,"300,495","164,676","Romney, W. Mitt  ",Challenger,"122,640","Obama, Barack H. ",Incumbent,Libertarian,"7,392","Johnson, Gary E. ",Challenger,"5,787","Stein Jill   (Green) 2,917; Scattered Write-In    (Write-in) 2,870","42,036",R,54.80,40.81,2.46,1.93,57.32,42.68,,,
President,20121106,N/A,Arizona,,,,"2,299,254","1,233,654","Romney, W. Mitt  ",Challenger,"1,025,232","Obama, Barack H. ",Incumbent,Libertarian,"32,100","Johnson, Gary E. ",Challenger,"8,268","Stein Jill   (Green) 7,816; Goode Virgil H. Jr. (Write-in) 289; Scattered Write-In    (Write-in) 163","208,422",R,53.65,44.59,1.40,.36,54.61,45.39,,,
President,20121106,N/A,Arkansas,,,,"1,069,468","647,744","Romney, W. Mitt  ",Challenger,"394,409","Obama, Barack H. ",Incumbent,Libertarian,"16,276","Johnson, Gary E. ",Challenger,"11,039","Lindsay Peta   (Socialism and Liberation) 1,734; Stein Jill   (Green) 9,305","253,335",R,60.57,36.88,1.52,1.03,62.15,37.85,,,
President,20121106,N/A,California,,,,"13,038,547","4,839,958","Romney, W. Mitt  ",Challenger,"7,854,285","Obama, Barack H. ",Incumbent,Libertarian,"143,221","Johnson, Gary E. ",Challenger,"201,083","Hoefling Thomas   (American Independent) 38,372; Barr Roseanne   (Peace and Freedom) 53,824; Paul Ron   (Write-in) 21,461; Stein Jill   (Green) 85,638; Goode Virgil H. Jr. (Write-in) 503; Scattered Write-In    (Write-in) 1,285","3,014,327",D,37.12,60.24,1.10,1.54,38.13,61.87,,,
President,20121106,N/A,Colorado,,,,"2,569,528","1,185,243","Romney, W. Mitt  ",Challenger,"1,323,102","Obama, Barack H. ",Incumbent,Libertarian,"35,545","Johnson, Gary E. ",Challenger,"25,638","Hoefling Thomas   (American Independent) 679; Barr Roseanne   (Peace and Freedom) 5,059; Anderson Ross C.  (Justice) 1,262; Terry Randall   (Independent) 4; Stein Jill   (Green) 7,508; Goode Virgil H. Jr. (Write-in) 6,234; Anderson Ross C.  (Justice) 4","137,859",D,46.13,51.49,1.38,1.00,47.25,52.75,,,
President,20121106,N/A,Connecticut,,,,"1,558,960","634,892","Romney, W. Mitt  ",Challenger,"905,083","Obama, Barack H. ",Incumbent,Libertarian,"12,580","Johnson, Gary E. ",Challenger,"6,405","Scattered Write-In    (Write-in) 918; Anderson Ross C.  (Justice) 5,487","270,191",D,40.73,58.06,.81,.41,41.23,58.77,,,
President,20121106,N/A,Delaware,,,,"413,921","165,484","Romney, W. Mitt  ",Challenger,"242,584","Obama, Barack H. ",Incumbent,Libertarian,"3,882","Johnson, Gary E. ",Challenger,"1,971","Stein Jill   (Green) 1,940; Goode Virgil H. Jr. (Write-in) 23; Scattered Write-In    (Write-in) 8","77,100",D,39.98,58.61,.94,.48,40.55,59.45,,,
President,20121106,N/A,District of Columbia,,,,"293,764","21,381","Romney, W. Mitt  ",Challenger,"267,070","Obama, Barack H. ",Incumbent,Libertarian,"2,083","Johnson, Gary E. ",Challenger,"3,230","Stein Jill   (Green) 2,458; Scattered Write-In    (Write-in) 772","245,689",D,7.28,90.91,.71,1.10,7.41,92.59,,,
President,20121106,N/A,Florida,,,,"8,474,179","4,163,447","Romney, W. Mitt  ",Challenger,"4,237,756","Obama, Barack H. ",Incumbent,Libertarian,"44,726","Johnson, Gary E. ",Challenger,"28,250","Hoefling Thomas   (American Independent) 946; Barr Roseanne   (Peace and Freedom) 8,154; Lindsay Peta   (Socialism and Liberation) 322; Stein Jill   (Green) 8,947; Goode Virgil H. Jr. (Write-in) 2,607; Scattered Write-In    (Write-in) 45; Anderson Ross C.  (Justice) 1,754","74,309",D,49.13,50.01,.53,.33,49.56,50.44,,,
President,20121106,N/A,Georgia,,,,"3,900,050","2,078,688","Romney, W. Mitt  ",Challenger,"1,773,827","Obama, Barack H. ",Incumbent,Libertarian,"45,324","Johnson, Gary E. ",Challenger,"2,211","Stein Jill   (Green) 1,516; Goode Virgil H. Jr. (Write-in) 432; Scattered Write-In    (Write-in) 263","304,861",R,53.30,45.48,1.16,.06,53.96,46.04,,,
President,20121106,N/A,Hawaii,,,,"434,697","121,015","Romney, W. Mitt  ",Challenger,"306,658","Obama, Barack H. ",Incumbent,Libertarian,"3,840","Johnson, Gary E. ",Challenger,"3,184","Stein Jill   (Green) 3,184","185,643",D,27.84,70.55,.88,.73,28.30,71.70,,,
President,20121106,N/A,Idaho,,,,"652,346","420,911","Romney, W. Mitt  ",Challenger,"212,787","Obama, Barack H. ",Incumbent,Libertarian,"9,453","Johnson, Gary E. ",Challenger,"9,195","Anderson Ross C.  (Justice) 2,499; Stein Jill   (Green) 4,402; Goode Virgil H. Jr. (Write-in) 2,222; Scattered Write-In    (Write-in) 72","208,124",R,64.52,32.62,1.45,1.41,66.42,33.58,,,
President,20121106,N/A,Illinois,,,,"5,242,014","2,135,216","Romney, W. Mitt  ",Challenger,"3,019,512","Obama, Barack H. ",Incumbent,Libertarian,"56,229","Johnson, Gary E. ",Challenger,"31,057","Stein Jill   (Green) 30,222; Goode Virgil H. Jr. (Write-in) 415; Scattered Write-In    (Write-in) 420","884,296",D,40.73,57.60,1.07,.59,41.42,58.58,,,
President,20121106,N/A,Indiana,,,,"2,624,534","1,420,543","Romney, W. Mitt  ",Challenger,"1,152,887","Obama, Barack H. ",Incumbent,Libertarian,"50,111","Johnson, Gary E. ",Challenger,993,Stein Jill   (Green) 625; Goode Virgil H. Jr. (Write-in) 290; Scattered Write-In    (Write-in) 78,"267,656",R,54.13,43.93,1.91,.04,55.20,44.80,,,
President,20121106,N/A,Iowa,,,,"1,582,180","730,617","Romney, W. Mitt  ",Challenger,"822,544","Obama, Barack H. ",Incumbent,Libertarian,"12,926","Johnson, Gary E. ",Challenger,"16,093","Stein Jill   (Green) 3,769; Goode Virgil H. Jr. (Write-in) 3,038; Scattered Write-In    (Write-in) 7,442","91,927",D,46.18,51.99,.82,1.02,47.04,52.96,,,
President,20121106,N/A,Kansas,,,,"1,159,971","692,634","Romney, W. Mitt  ",Challenger,"440,726","Obama, Barack H. ",Incumbent,Libertarian,"20,456","Johnson, Gary E. ",Challenger,"6,155",Stein Jill   (Green) 714; Goode Virgil H. Jr. (Write-in) 187; Scattered Write-In    (Write-in) 237,"251,908",R,59.71,37.99,1.76,.53,61.11,38.89,,,
President,20121106,N/A,Maine,,,,"713,180","292,276","Romney, W. Mitt  ",Challenger,"401,306","Obama, Barack H. ",Incumbent,Libertarian,"9,352","Johnson, Gary E. ",Challenger,"10,246","Paul Ron   (Write-in) 2,035; Stein Jill   (Green) 8,119; Scattered Write-In    (Write-in) 92","109,030",D,40.98,56.27,1.31,1.44,42.14,57.86,,,
President,20121106,N/A,Maryland,,,,"2,707,327","971,869","Romney, W. Mitt  ",Challenger,"1,677,844","Obama, Barack H. ",Incumbent,Libertarian,"30,195","Johnson, Gary E. ",Challenger,"27,419","Stein Jill   (Green) 17,110; Goode Virgil H. Jr. (Write-in) 418; Scattered Write-In    (Write-in) 9,891","705,975",D,35.90,61.97,1.12,1.01,36.68,63.32,,,
