Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Alabama,N/A,2014,District 1,1,20120101,"103,758","Byrne, Bradley",Incumbent,"48,278","LeFlore, Burton R.",Challenger,Write-in,198,Write-In,Challenger,N/A,"55,480",R,.13,68.25,31.75,
House,Alabama,N/A,2012,District 1,1,20120101,"196,374","Bonner, Josiah Robbins Jr.",Incumbent,N/A,N/A,N/A,Write-in,"4,302",Scattered Write-In,Challenger,N/A,"192,072",R,2.14,100.00,.00,
House,Alabama,N/A,2014,District 2,2,20120101,"113,103","Roby, Martha",Incumbent,"54,692","Wright, Erick",Challenger,Write-in,157,Write-In,Challenger,N/A,"58,411",R,.09,67.41,32.59,
House,Alabama,N/A,2012,District 2,2,20120101,"180,591","Roby, Martha",Incumbent,"103,092","Ford, Therese",Challenger,Write-in,270,Scattered Write-In,Challenger,N/A,"77,499",R,.10,63.66,36.34,
House,Alabama,N/A,2014,District 3,3,20120101,"103,558","Rogers, Mike D.",Incumbent,"52,816","Smith, Jesse Tremain",Challenger,Write-in,246,Write-In,Challenger,N/A,"50,742",R,.16,66.22,33.78,
House,Alabama,N/A,2012,District 3,3,20120101,"175,306","Rogers, Mike D.",Incumbent,"98,141","Harris, John Andrew",Challenger,Write-in,483,Scattered Write-In,Challenger,N/A,"77,165",R,.18,64.11,35.89,
House,Alabama,N/A,2014,District 4,4,20120101,"132,831","Aderholt, Robert",Incumbent,N/A,N/A,N/A,Write-in,"1,921",Write-In,Challenger,N/A,"130,910",R,1.43,100.00,.00,
House,Alabama,N/A,2012,District 4,4,20120101,"199,071","Aderholt, Robert",Incumbent,"69,706","Boman, Daniel H.",Challenger,Write-in,341,Scattered Write-In,Challenger,N/A,"129,365",R,.13,74.07,25.93,
House,Alabama,N/A,2014,District 5,5,20120101,"115,338","Brooks, Mo",Incumbent,N/A,N/A,N/A,Unaffiliated,"39,005","Bray, Mark",Challenger,631,"76,333",R,25.17,100.00,.00,The other vote was: Write-In (Write-in) 631
House,Alabama,N/A,2012,District 5,5,20120101,"189,185","Brooks, Mo",Incumbent,"101,772","Holley, Charlie L.",Challenger,Write-in,336,Scattered Write-In,Challenger,N/A,"87,413",R,.12,65.02,34.98,
House,Alabama,N/A,2014,District 6,6,20120101,"135,945","Palmer, Gary",Challenger,"42,291","Lester, Mark",Challenger,Write-in,213,Write-In,Challenger,N/A,"93,654",R,.12,76.27,23.73,
House,Alabama,N/A,2012,District 6,6,20120101,"219,262","Bachus, Spencer",Incumbent,"88,267","Bailey, Penny",Challenger,Write-in,573,Scattered Write-In,Challenger,N/A,"130,995",R,.19,71.30,28.70,
House,Alabama,N/A,2014,District 7,7,20120101,N/A,N/A,N/A,"133,687","Sewell, Terri A.",Incumbent,Write-in,"2,212",Write-In,Challenger,N/A,"131,475",D,1.63,.00,100.00,
House,Alabama,N/A,2012,District 7,7,20120101,"73,835","Chamberlain, Don",Challenger,"232,520","Sewell, Terri A.",Incumbent,Write-in,203,Scattered Write-In,Challenger,N/A,"158,685",D,.07,24.10,75.90,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Alaska,N/A,2014,At Large,1,N/A,"142,572","Young, Don",Incumbent,"114,602","Dunbar, Forrest",Challenger,Libertarian,"21,290","McDermott, Jim C.",Challenger,"1,277","27,970",R,7.61,55.44,44.56,"The other vote was: Write-In (Write-in) 1,277"
House,Alaska,N/A,2012,At Large,1,N/A,"185,296","Young, Don",Incumbent,"82,927","Cissna, Sharon M.",Challenger,Libertarian,"15,028","McDermott, Jim C.",Challenger,"6,553","102,369",R,5.19,69.08,30.92,"The other vote was: Gianoutsos, Ted (Non Affiliated) 5,589; Scattered Write-In (Write-in) 964"
